img_id,disease,engine,point_game,energy,iou,area_ratio
patient64603_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.06666714698076248,0.05820415326118748,0.30929129464285715
patient64603_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,0,0.06705553829669952,0.057552761313909045,0.3292610012755102
patient64603_study1_view1_frontal,Pleural Effusion,ImageNet_GradCAM,0,0.00011803890083683655,0.0,0.07794563137755102
patient64603_study1_view1_frontal,Pleural Effusion,ImageNet_GradCAM++,0,0.0026050296146422625,0.0,0.11700813137755102
patient64603_study1_view1_frontal,Pleural Effusion,RadImageNet_GradCAM,0,0.00716432137414813,0.0034423407917383822,0.28453842474489793
patient64603_study1_view1_frontal,Pleural Effusion,RadImageNet_GradCAM++,0,0.0078500434756279,0.006888168557536467,0.3407405931122449
patient64603_study1_view1_frontal,Edema,ImageNet_GradCAM,0,0.1846984475851059,0.24330105832019816,0.15425701530612246
patient64603_study1_view1_frontal,Edema,ImageNet_GradCAM++,0,0.15290871262550354,0.2660186845333585,0.20155054209183673
patient64603_study1_view1_frontal,Edema,RadImageNet_GradCAM,0,0.1285509467124939,0.1623629946126695,0.18357382015306123
patient64603_study1_view1_frontal,Edema,RadImageNet_GradCAM++,0,0.12465734034776688,0.14654958164195178,0.21000079719387754
patient64603_study1_view1_frontal,Atelectasis,ImageNet_GradCAM,0,0.0572272390127182,0.09013471878209388,0.3285634566326531
patient64603_study1_view1_frontal,Atelectasis,ImageNet_GradCAM++,0,0.04976537823677063,0.09351908866995073,0.2520727040816326
patient64603_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM,0,0.04224038124084473,0.037444933920704845,0.3162468112244898
patient64603_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM++,0,0.041536156088113785,0.0401378342160679,0.2937858737244898
patient64603_study1_view1_frontal,Cardiomegaly,ImageNet_GradCAM,0,0.0005734201404266059,0.0,0.09701849489795919
patient64603_study1_view1_frontal,Cardiomegaly,ImageNet_GradCAM++,0,0.07027639448642731,0.03953135536075523,0.19969706632653061
patient64603_study1_view1_frontal,Cardiomegaly,RadImageNet_GradCAM,0,0.0952443853020668,0.11399276236429433,0.2115752551020408
patient64603_study1_view1_frontal,Cardiomegaly,RadImageNet_GradCAM++,0,0.08522950857877731,0.13944452439199884,0.26951132015306123
patient64603_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM,1,0.11981761455535889,0.07873644507307874,0.1630859375
patient64603_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM++,0,0.12701669335365295,0.1361088211046991,0.20974170918367346
patient64603_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM,0,0.14864949882030487,0.15915143723023234,0.18664301658163265
patient64603_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM++,0,0.12733761966228485,0.17847129998524422,0.2534279336734694
patient64609_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.012911218218505383,0.0,0.11246412627551021
patient64609_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.007991224527359009,0.0004083299305839118,0.2853156887755102
patient64609_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.005691154394298792,0.0,0.30929129464285715
patient64609_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,0,0.0064512090757489204,0.0,0.3292610012755102
patient64609_study1_view1_frontal,Pleural Effusion,ImageNet_GradCAM,0,0.022771671414375305,0.027952656761521026,0.07794563137755102
patient64609_study1_view1_frontal,Pleural Effusion,ImageNet_GradCAM++,0,0.012872698716819286,0.018715225088517955,0.11700813137755102
patient64609_study1_view1_frontal,Pleural Effusion,RadImageNet_GradCAM,0,0.0020919369999319315,0.0006233118637024725,0.28453842474489793
patient64609_study1_view1_frontal,Pleural Effusion,RadImageNet_GradCAM++,0,0.001809303998015821,0.0,0.3407405931122449
patient64609_study1_view1_frontal,Edema,ImageNet_GradCAM,0,0.15499582886695862,0.13853125965598928,0.15425701530612246
patient64609_study1_view1_frontal,Edema,ImageNet_GradCAM++,0,0.13574007153511047,0.20410725495471257,0.20155054209183673
patient64609_study1_view1_frontal,Edema,RadImageNet_GradCAM,0,0.11916287988424301,0.14175022789425706,0.18357382015306123
patient64609_study1_view1_frontal,Edema,RadImageNet_GradCAM++,0,0.12071472406387329,0.14546807806814424,0.21000079719387754
patient64609_study1_view1_frontal,Atelectasis,ImageNet_GradCAM,0,0.005304839927703142,0.009803328290468986,0.3285634566326531
patient64609_study1_view1_frontal,Atelectasis,ImageNet_GradCAM++,0,0.0039040998090058565,0.0,0.2520727040816326
patient64609_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM,0,0.003138316096737981,0.0,0.3162468112244898
patient64609_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM++,0,0.0034902109764516354,0.0,0.2937858737244898
patient64609_study1_view1_frontal,Cardiomegaly,ImageNet_GradCAM,0,1.1997590263490565e-06,0.0,0.09701849489795919
patient64609_study1_view1_frontal,Cardiomegaly,ImageNet_GradCAM++,0,0.08211807906627655,0.033482499600447496,0.19969706632653061
patient64609_study1_view1_frontal,Cardiomegaly,RadImageNet_GradCAM,0,0.09376557171344757,0.07151908759702202,0.2115752551020408
patient64609_study1_view1_frontal,Cardiomegaly,RadImageNet_GradCAM++,0,0.09002131223678589,0.09434716026366602,0.26951132015306123
patient64609_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM,0,0.10926241427659988,0.06822510822510823,0.1630859375
patient64609_study1_view1_frontal,Enlarged Cardiomediastinum,ImageNet_GradCAM++,0,0.13848267495632172,0.1254312658130798,0.20974170918367346
patient64609_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM,0,0.1624039113521576,0.14169903732477623,0.18664301658163265
patient64609_study1_view1_frontal,Enlarged Cardiomediastinum,RadImageNet_GradCAM++,0,0.14556154608726501,0.15633995887594243,0.2534279336734694
patient64610_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.05028725042939186,0.04453004622496148,0.11246412627551021
